nVert,nFace,totSurface,Vol,planarity,mediaVX,mediaVY,mediaVZ,varVX,varVY,varVZ,mediaNX,mediaNY,mediaNZ,varNX,varNY,varNZ,eigv1,eigv2,eigv3,x1,y1,z1,x2,y2,z2,x3,y3,z3,XN_YN_ZN_x,XN_YN_ZN_y,XN_YN_ZN_z,XN_YN_ZP_x,XN_YN_ZP_y,XN_YN_ZP_z,XN_YP_ZN_x,XN_YP_ZN_y,XN_YP_ZN_z,XN_YP_ZP_x,XN_YP_ZP_y,XN_YP_ZP_z,XP_YN_ZN_x,XP_YN_ZN_y,XP_YN_ZN_z,XP_YN_ZP_x,XP_YN_ZP_y,XP_YN_ZP_z,XP_YP_ZN_x,XP_YP_ZN_y,XP_YP_ZN_z,XP_YP_ZP_x,XP_YP_ZP_y,XP_YP_ZP_z,objType
39,42,0.008,0.0,2.472,0.155,-0.066,-0.822,0.047,0.021,0.018,0.119,0.302,0.576,0.371,0.44,0.482,0.1,0.106,0.021,0.306,-0.107,-0.946,0.938,0.201,0.281,0.16,-0.974,0.162,0.308,0.809,0.479,0.415,0.185,0.883,0.0,0.0,0.0,0.213,0.504,0.757,0.351,0.482,0.736,0.408,0.172,0.864,0.2,0.944,0.199,0.382,0.429,0.712,silt
284,496,0.098,0.0,0.633,0.384,-0.068,-0.731,0.097,0.027,0.062,0.169,-0.01,0.457,0.525,0.518,0.468,3.183,3.618,1.127,0.314,0.097,0.944,-0.444,0.894,0.056,-0.839,-0.437,0.324,0.515,0.553,0.418,0.351,0.443,0.678,0.692,0.488,0.337,0.451,0.395,0.618,0.534,0.534,0.414,0.491,0.378,0.611,0.649,0.531,0.249,0.454,0.42,0.634,silt
24,24,0.008,0.0,2.782,0.183,-0.043,-0.706,0.064,0.02,0.022,0.33,-0.301,0.66,0.317,0.389,0.335,0.114,0.111,0.015,0.25,0.034,0.968,0.001,0.999,-0.036,-0.968,0.009,0.25,0.322,0.94,0.114,0.215,0.573,0.756,0.0,0.0,0.0,0.206,0.038,0.978,0.03,0.999,0.013,0.509,0.386,0.597,0.0,0.0,0.0,0.39,0.065,0.904,silt
45,63,0.011,0.0,0.89,0.212,-0.075,-0.782,0.036,0.034,0.032,0.156,0.075,0.41,0.531,0.515,0.505,0.138,0.103,0.072,0.657,-0.301,-0.691,0.184,0.953,-0.241,0.731,0.031,0.681,0.762,0.436,0.411,0.273,0.22,0.855,0.652,0.494,0.428,0.463,0.521,0.526,0.475,0.782,0.253,0.606,0.416,0.539,0.581,0.534,0.368,0.313,0.392,0.757,silt
77,129,0.024,0.0,0.881,0.344,-0.056,-0.541,0.031,0.023,0.069,0.017,0.096,0.462,0.517,0.531,0.477,0.428,0.435,0.109,0.955,-0.291,-0.059,0.297,0.945,0.136,0.016,-0.148,0.989,0.377,0.738,0.349,0.506,0.301,0.729,0.634,0.579,0.45,0.484,0.407,0.619,0.628,0.499,0.47,0.398,0.396,0.677,0.467,0.718,0.328,0.382,0.592,0.612,silt
122,180,0.094,0.0,1.254,0.575,-0.08,-0.501,0.137,0.017,0.084,0.273,-0.192,0.674,0.35,0.416,0.372,2.776,2.792,0.835,0.198,0.125,0.972,-0.603,0.797,0.02,-0.773,-0.591,0.233,0.323,0.778,0.402,0.351,0.56,0.562,0.0,0.0,0.0,0.342,0.475,0.653,0.593,0.568,0.215,0.353,0.304,0.817,0.553,0.595,0.361,0.522,0.348,0.659,sand
56,77,0.03,0.0,1.753,0.663,-0.055,-0.664,0.073,0.023,0.039,0.186,-0.188,0.624,0.469,0.479,0.302,0.361,0.37,0.096,0.257,0.069,0.964,-0.496,0.866,0.07,-0.83,-0.496,0.257,0.0,0.0,0.0,0.516,0.423,0.69,0.237,0.673,0.7,0.448,0.312,0.759,0.731,0.667,0.032,0.444,0.576,0.551,0.0,0.0,0.0,0.426,0.298,0.769,silt
191,323,0.068,0.0,0.481,0.752,-0.067,-0.768,0.087,0.032,0.049,0.1,0.04,0.375,0.431,0.664,0.47,1.783,1.93,0.502,0.345,0.046,0.937,-0.527,0.836,0.153,-0.777,-0.547,0.313,0.412,0.709,0.356,0.368,0.467,0.652,0.552,0.636,0.294,0.312,0.719,0.438,0.34,0.737,0.371,0.341,0.544,0.618,0.396,0.753,0.277,0.371,0.494,0.629,silt
246,410,0.074,0.0,0.548,1.025,-0.095,-0.787,0.071,0.047,0.045,0.025,0.19,0.374,0.509,0.521,0.542,1.999,1.434,1.1,0.372,-0.661,-0.652,0.837,-0.066,0.544,-0.403,-0.748,0.528,0.526,0.643,0.319,0.45,0.359,0.64,0.447,0.638,0.405,0.402,0.512,0.572,0.694,0.361,0.413,0.402,0.377,0.69,0.443,0.598,0.436,0.376,0.443,0.665,silt
334,586,0.151,0.0,1.036,1.018,-0.064,-0.529,0.111,0.017,0.121,0.189,-0.088,0.707,0.405,0.399,0.364,7.635,6.576,3.966,0.625,-0.703,0.341,0.756,0.653,-0.039,-0.195,0.282,0.939,0.568,0.501,0.455,0.313,0.399,0.725,0.505,0.511,0.448,0.325,0.331,0.781,0.536,0.654,0.271,0.358,0.308,0.8,0.624,0.535,0.358,0.39,0.255,0.804,sand
