nVert,nFace,totSurface,Vol,planarity,mediaVX,mediaVY,mediaVZ,varVX,varVY,varVZ,mediaNX,mediaNY,mediaNZ,varNX,varNY,varNZ,eigv1,eigv2,eigv3,x1,y1,z1,x2,y2,z2,x3,y3,z3,XN_YN_ZN_x,XN_YN_ZN_y,XN_YN_ZN_z,XN_YN_ZP_x,XN_YN_ZP_y,XN_YN_ZP_z,XN_YP_ZN_x,XN_YP_ZN_y,XN_YP_ZN_z,XN_YP_ZP_x,XN_YP_ZP_y,XN_YP_ZP_z,XP_YN_ZN_x,XP_YN_ZN_y,XP_YN_ZN_z,XP_YN_ZP_x,XP_YN_ZP_y,XP_YN_ZP_z,XP_YP_ZN_x,XP_YP_ZN_y,XP_YP_ZN_z,XP_YP_ZP_x,XP_YP_ZP_y,XP_YP_ZP_z,objType
97,155,0.05,0.0,0.605,-0.192,-0.039,0.037,0.052,0.047,0.078,0.063,0.103,0.418,0.512,0.578,0.462,0.798,1.001,0.321,0.994,0.091,0.063,-0.11,0.874,0.474,-0.012,-0.478,0.878,0.866,0.306,0.238,0.494,0.476,0.55,0.351,0.641,0.583,0.513,0.412,0.587,0.34,0.491,0.623,0.351,0.511,0.651,0.474,0.639,0.367,0.45,0.579,0.535,silt
47,68,0.018,0.0,1.834,-0.314,-0.039,0.081,0.051,0.027,0.038,0.079,0.284,0.54,0.446,0.519,0.392,0.197,0.197,0.052,0.562,-0.229,0.795,0.048,0.968,0.245,-0.826,-0.1,0.555,0.02,0.825,0.565,0.155,0.676,0.572,0.157,0.987,0.032,0.43,0.558,0.629,0.014,0.413,0.911,0.351,0.443,0.782,0.453,0.742,0.234,0.451,0.492,0.6,silt
94,134,0.044,0.0,0.502,-0.456,0.013,-0.029,0.063,0.085,0.037,-0.06,0.023,0.429,0.558,0.572,0.416,0.988,1.049,0.308,0.851,-0.055,0.523,0.526,0.087,-0.846,0.001,0.995,0.103,0.667,0.687,0.042,0.628,0.357,0.554,0.561,0.483,0.5,0.508,0.495,0.476,0.621,0.651,0.27,0.337,0.512,0.661,0.772,0.36,0.379,0.339,0.577,0.587,silt
45,53,0.021,0.0,1.896,-0.83,-0.01,0.093,0.048,0.013,0.059,0.102,0.032,0.657,0.436,0.435,0.422,0.207,0.259,0.07,0.836,-0.081,0.542,0.102,0.995,-0.008,-0.539,0.062,0.84,0.0,0.0,0.0,0.271,0.38,0.795,0.468,0.632,0.356,0.312,0.456,0.747,0.499,0.622,0.376,0.48,0.196,0.778,0.0,0.0,0.0,0.348,0.305,0.817,silt
79,107,0.054,0.0,0.674,-0.698,0.005,-0.014,0.077,0.058,0.059,0.383,-0.112,0.367,0.449,0.496,0.508,0.837,0.737,0.453,0.576,0.32,-0.752,-0.806,0.374,-0.458,0.135,0.87,0.474,0.033,0.434,0.9,0.246,0.386,0.841,0.486,0.396,0.718,0.49,0.408,0.562,0.896,0.332,0.185,0.362,0.464,0.61,0.568,0.565,0.241,0.266,0.439,0.684,silt
15,17,0.003,0.0,4.635,-0.785,0.007,0.236,0.014,0.014,0.024,-0.251,0.161,0.609,0.424,0.437,0.412,0.014,0.011,0.004,0.83,-0.411,0.378,0.407,0.909,0.094,-0.382,0.076,0.921,0.0,0.0,0.0,0.736,0.306,0.575,0.443,0.837,0.321,0.282,0.283,0.831,0.714,0.526,0.462,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.509,0.821,silt
63,94,0.029,0.0,1.382,-1.245,-0.015,-0.06,0.037,0.022,0.066,0.277,0.144,0.5,0.518,0.499,0.368,0.346,0.33,0.108,0.867,0.481,0.13,-0.494,0.863,0.105,-0.062,-0.155,0.986,0.731,0.419,0.539,0.429,0.264,0.758,0.443,0.801,0.255,0.303,0.537,0.564,0.925,0.14,0.352,0.669,0.362,0.495,0.772,0.574,0.099,0.475,0.462,0.593,silt
70,94,0.055,0.0,1.803,-1.048,-0.015,-0.067,0.106,0.026,0.069,0.169,0.138,0.836,0.274,0.385,0.171,0.914,1.16,0.273,0.422,-0.014,-0.906,0.318,0.939,0.133,0.849,-0.344,0.401,0.0,0.0,0.0,0.268,0.444,0.789,0.0,0.0,0.0,0.194,0.427,0.805,0.0,0.0,0.0,0.28,0.244,0.879,0.0,0.0,0.0,0.308,0.281,0.832,sand
65,104,0.026,0.0,1.003,-0.914,-0.012,-0.002,0.068,0.023,0.037,0.08,0.13,0.437,0.463,0.571,0.496,0.378,0.373,0.109,0.249,-0.12,-0.961,0.894,0.411,0.181,0.373,-0.904,0.21,0.688,0.429,0.395,0.396,0.335,0.636,0.469,0.682,0.412,0.242,0.52,0.733,0.427,0.626,0.304,0.446,0.42,0.609,0.29,0.741,0.357,0.304,0.577,0.614,silt
44,56,0.023,0.0,1.712,-0.789,-0.035,-0.135,0.065,0.015,0.046,0.215,0.106,0.563,0.367,0.516,0.473,0.216,0.268,0.088,0.373,0.122,-0.92,-0.219,0.975,0.04,0.902,0.186,0.39,0.0,0.0,0.0,0.162,0.305,0.917,0.942,0.16,0.294,0.239,0.606,0.61,0.0,0.0,0.0,0.452,0.286,0.729,0.303,0.328,0.712,0.308,0.69,0.481,silt
99,137,0.057,0.0,0.758,-0.619,-0.021,-0.174,0.057,0.058,0.069,0.149,0.219,0.467,0.504,0.547,0.399,0.811,0.961,0.468,0.985,0.115,0.125,-0.167,0.799,0.577,-0.033,-0.59,0.807,0.0,0.0,0.0,0.207,0.506,0.688,0.337,0.918,0.117,0.49,0.487,0.62,0.643,0.72,0.261,0.439,0.431,0.607,0.667,0.595,0.225,0.464,0.575,0.453,silt
76,118,0.046,0.0,1.295,-1.156,-0.021,-0.226,0.082,0.026,0.047,0.177,-0.177,0.564,0.447,0.531,0.37,0.67,0.559,0.217,0.143,0.177,-0.974,-0.988,0.084,-0.13,0.059,0.981,0.187,0.881,0.298,0.329,0.369,0.784,0.234,0.421,0.574,0.564,0.382,0.44,0.644,0.131,0.991,0.035,0.41,0.471,0.612,0.0,0.0,0.0,0.366,0.307,0.786,silt
36,47,0.017,0.0,2.364,-0.92,-0.034,-0.219,0.057,0.016,0.027,0.017,-0.316,0.654,0.39,0.498,0.269,0.145,0.124,0.033,0.151,-0.106,-0.983,0.982,0.134,0.136,0.117,-0.985,0.124,0.463,0.886,0.005,0.27,0.569,0.625,0.0,0.0,0.0,0.585,0.453,0.546,0.0,0.0,0.0,0.341,0.452,0.692,0.0,0.0,0.0,0.247,0.438,0.769,silt
90,135,0.05,0.0,0.94,-0.76,-0.047,-0.327,0.071,0.021,0.069,0.137,0.018,0.513,0.531,0.521,0.407,0.681,0.861,0.311,0.673,0.189,-0.715,-0.296,0.955,-0.027,0.677,0.229,0.699,0.498,0.665,0.556,0.463,0.436,0.652,0.584,0.59,0.218,0.452,0.475,0.606,0.621,0.527,0.246,0.431,0.367,0.664,0.793,0.37,0.251,0.401,0.446,0.629,silt
116,185,0.066,0.0,1.212,-0.992,-0.033,-0.347,0.081,0.024,0.069,0.119,-0.101,0.565,0.475,0.544,0.367,1.257,0.884,0.601,0.329,-0.55,0.768,0.863,0.505,-0.008,-0.383,0.665,0.641,0.49,0.795,0.14,0.371,0.586,0.589,0.599,0.597,0.213,0.317,0.427,0.746,0.581,0.646,0.228,0.364,0.43,0.656,0.848,0.42,0.283,0.444,0.389,0.657,silt
72,100,0.038,0.0,1.433,-1.221,-0.037,-0.354,0.065,0.033,0.054,0.184,-0.001,0.58,0.437,0.593,0.295,0.55,0.349,0.271,0.387,0.512,-0.767,-0.863,0.494,-0.106,0.325,0.702,0.633,0.433,0.774,0.268,0.414,0.591,0.549,0.0,0.0,0.0,0.407,0.456,0.716,0.057,0.996,0.063,0.308,0.513,0.682,0.0,0.0,0.0,0.505,0.534,0.557,silt
79,118,0.036,0.0,1.082,-1.18,-0.029,-0.473,0.094,0.027,0.04,0.156,-0.013,0.594,0.507,0.473,0.376,0.834,0.76,0.175,0.096,0.05,0.994,-0.995,0.007,0.096,-0.003,-0.999,0.051,0.717,0.55,0.212,0.419,0.407,0.616,0.893,0.45,0.017,0.372,0.331,0.814,0.548,0.516,0.537,0.389,0.471,0.661,0.988,0.08,0.133,0.497,0.381,0.622,silt
71,104,0.024,0.0,1.307,-1.224,-0.036,-0.598,0.061,0.016,0.039,0.253,-0.154,0.514,0.446,0.552,0.38,0.336,0.324,0.123,0.189,0.144,0.971,-0.598,0.802,-0.003,-0.779,-0.58,0.238,0.565,0.69,0.284,0.263,0.599,0.618,0.476,0.873,0.108,0.241,0.495,0.712,0.282,0.89,0.206,0.471,0.467,0.567,0.716,0.627,0.147,0.47,0.402,0.666,silt
141,203,0.046,0.0,0.925,-1.21,-0.045,-0.751,0.049,0.035,0.062,0.15,-0.001,0.489,0.511,0.517,0.458,0.724,0.879,0.495,0.985,0.174,0.002,-0.171,0.966,0.193,0.032,-0.191,0.981,0.591,0.435,0.544,0.414,0.336,0.687,0.592,0.696,0.193,0.432,0.423,0.676,0.364,0.647,0.41,0.464,0.439,0.607,0.572,0.455,0.431,0.475,0.421,0.651,silt
171,244,0.053,0.0,0.699,-1.011,-0.076,-0.803,0.085,0.064,0.04,0.13,0.354,0.364,0.415,0.556,0.495,1.72,2.03,0.66,0.55,0.196,0.812,-0.834,0.17,0.524,-0.035,-0.966,0.258,0.464,0.606,0.427,0.35,0.598,0.536,0.322,0.797,0.286,0.263,0.628,0.572,0.412,0.638,0.435,0.425,0.371,0.662,0.367,0.78,0.306,0.395,0.526,0.603,silt
65,93,0.027,0.0,2.126,-1.053,-0.05,-0.647,0.042,0.014,0.06,0.127,-0.064,0.682,0.481,0.417,0.331,0.247,0.347,0.126,0.986,0.014,-0.165,-0.011,1.0,0.021,0.166,-0.019,0.986,0.141,0.985,0.096,0.319,0.358,0.727,0.0,0.0,0.0,0.358,0.231,0.842,0.807,0.507,0.2,0.527,0.327,0.648,0.308,0.684,0.503,0.437,0.288,0.764,silt
73,102,0.036,0.0,1.495,-0.928,-0.054,-0.506,0.086,0.022,0.039,0.107,-0.019,0.67,0.394,0.556,0.274,0.65,0.569,0.147,0.091,-0.094,-0.991,0.996,0.013,0.091,0.004,-0.996,0.094,0.0,0.0,0.0,0.271,0.555,0.592,0.0,0.0,0.0,0.391,0.61,0.619,0.077,0.993,0.092,0.396,0.437,0.606,0.0,0.0,0.0,0.264,0.294,0.857,silt
77,105,0.035,0.0,1.168,-0.732,-0.057,-0.452,0.091,0.02,0.043,0.185,-0.169,0.565,0.457,0.536,0.348,0.723,0.725,0.17,0.105,0.043,-0.994,-0.692,0.721,-0.042,0.715,0.692,0.105,0.037,0.98,0.194,0.288,0.629,0.571,0.47,0.768,0.435,0.322,0.502,0.684,0.77,0.574,0.124,0.455,0.464,0.598,0.817,0.455,0.163,0.384,0.349,0.762,silt
52,62,0.023,0.0,1.924,-0.876,-0.049,-0.602,0.074,0.016,0.035,0.189,-0.148,0.604,0.51,0.472,0.309,0.324,0.319,0.075,0.097,0.044,0.994,-0.768,0.639,0.047,-0.634,-0.768,0.096,0.543,0.823,0.163,0.606,0.42,0.538,0.0,0.0,0.0,0.457,0.379,0.727,0.823,0.406,0.063,0.432,0.405,0.657,0.0,0.0,0.0,0.414,0.384,0.698,silt
71,101,0.029,0.0,1.137,-0.932,-0.038,-0.7,0.057,0.026,0.034,0.199,-0.18,0.421,0.459,0.645,0.353,0.327,0.242,0.153,0.192,0.411,0.891,-0.832,0.55,-0.075,-0.521,-0.727,0.447,0.51,0.696,0.238,0.31,0.682,0.494,0.219,0.792,0.571,0.298,0.626,0.569,0.285,0.814,0.506,0.463,0.621,0.42,0.749,0.535,0.046,0.432,0.51,0.617,silt
176,253,0.106,0.0,0.791,-0.549,-0.058,-0.743,0.193,0.028,0.069,0.2,-0.069,0.643,0.382,0.467,0.422,7.279,6.77,0.941,0.067,-0.016,0.998,0.843,0.535,-0.048,-0.533,0.845,0.049,0.28,0.845,0.35,0.405,0.449,0.639,0.443,0.555,0.439,0.243,0.455,0.76,0.573,0.641,0.384,0.365,0.319,0.738,0.481,0.558,0.371,0.325,0.312,0.798,sand
89,112,0.051,0.0,1.019,-0.456,-0.037,-0.129,0.087,0.078,0.056,-0.026,0.201,0.628,0.468,0.462,0.363,1.27,1.188,0.539,0.62,-0.357,-0.699,0.75,0.01,0.661,-0.229,-0.934,0.274,0.0,0.0,0.0,0.212,0.31,0.835,0.738,0.55,0.252,0.43,0.429,0.659,0.0,0.0,0.0,0.362,0.356,0.791,0.696,0.413,0.255,0.306,0.506,0.664,silt
125,185,0.098,0.0,0.843,-0.108,-0.092,-0.175,0.113,0.024,0.094,0.134,0.09,0.541,0.428,0.558,0.431,2.236,2.221,1.059,0.42,-0.348,0.838,0.66,0.751,-0.019,-0.623,0.561,0.545,0.025,0.782,0.623,0.411,0.548,0.584,0.467,0.705,0.337,0.38,0.641,0.491,0.667,0.459,0.479,0.329,0.347,0.765,0.661,0.564,0.232,0.396,0.485,0.607,sand
