sep=,
object,collection,nVert,nFace,totSurface,Vol,planarity,mediaVX,mediaVY,mediaVZ,varVX,varVY,varVZ,mediaNX,mediaNY,mediaNZ,varNX,varNY,varNZ,eigv1,eigv2,eigv3,x1,y1,z1,x2,y2,z2,x3,y3,z3,XN_YN_ZN_x,XN_YN_ZN_y,XN_YN_ZN_z,XN_YN_ZP_x,XN_YN_ZP_y,XN_YN_ZP_z,XN_YP_ZN_x,XN_YP_ZN_y,XN_YP_ZN_z,XN_YP_ZP_x,XN_YP_ZP_y,XN_YP_ZP_z,XP_YN_ZN_x,XP_YN_ZN_y,XP_YN_ZN_z,XP_YN_ZP_x,XP_YN_ZP_y,XP_YN_ZP_z,XP_YP_ZN_x,XP_YP_ZN_y,XP_YP_ZN_z,XP_YP_ZP_x,XP_YP_ZP_y,XP_YP_ZP_z,objType
mongialino.011,pietreMongialino,103,160,0.465,0.004,0.489,-2.557,-0.296,4.515,0.19,0.135,0.147,0.046,0.078,0.605,0.431,0.585,0.313,4.512,6.43,4.753,0.933,0.354,0.062,-0.329,0.775,0.539,0.143,-0.523,0.84,0.0,0.0,0.0,0.345,0.47,0.708,0.487,0.825,0.205,0.346,0.465,0.65,0.373,0.902,0.084,0.336,0.466,0.713,0.641,0.39,0.32,0.356,0.551,0.61,sand
mongialino.012,pietreMongialino,180,304,0.598,0.004,0.323,-2.655,-0.289,3.875,0.145,0.122,0.202,0.158,0.036,0.456,0.536,0.548,0.421,10.478,11.271,5.785,0.948,0.263,-0.177,-0.306,0.906,-0.292,0.084,0.331,0.94,0.166,0.329,0.93,0.407,0.456,0.662,0.616,0.608,0.218,0.329,0.493,0.638,0.535,0.688,0.259,0.515,0.382,0.575,0.647,0.526,0.315,0.482,0.493,0.511,sand
mongialino.013,pietreMongialino,241,408,1.101,0.01,0.419,-2.808,-0.475,3.311,0.338,0.131,0.22,0.1,-0.105,0.596,0.508,0.522,0.307,39.325,30.856,16.485,0.211,0.319,-0.924,-0.958,0.256,-0.13,0.195,0.912,0.36,0.347,0.771,0.166,0.489,0.473,0.577,0.0,0.0,0.0,0.344,0.392,0.716,0.67,0.6,0.099,0.498,0.454,0.574,0.646,0.559,0.133,0.371,0.42,0.709,granule
mongialino.014,pietreMongialino,517,924,2.205,0.026,0.389,-3.942,-0.51,3.157,0.345,0.207,0.368,0.166,-0.098,0.512,0.461,0.58,0.39,139.633,94.409,73.443,0.557,0.693,-0.458,-0.828,0.503,-0.245,0.06,0.516,0.855,0.298,0.584,0.502,0.334,0.54,0.636,0.489,0.668,0.167,0.388,0.492,0.646,0.54,0.682,0.305,0.416,0.487,0.621,0.455,0.684,0.306,0.47,0.471,0.577,pebble
mongialino.015,pietreMongialino,312,516,1.522,0.019,0.394,-5.018,-0.713,2.991,0.246,0.206,0.384,0.375,-0.059,0.508,0.38,0.522,0.426,71.534,54.507,30.143,0.779,0.596,-0.194,-0.626,0.755,-0.194,0.031,0.273,0.962,0.123,0.935,0.284,0.201,0.419,0.766,0.176,0.829,0.275,0.285,0.431,0.7,0.596,0.67,0.217,0.437,0.355,0.675,0.711,0.482,0.207,0.518,0.447,0.548,pebble
mongialino.016,pietreMongialino,427,704,1.81,0.031,0.296,-4.128,-0.554,2.097,0.479,0.291,0.22,0.226,-0.024,0.457,0.535,0.533,0.412,134.312,132.532,42.625,0.414,0.144,0.899,-0.91,0.036,0.414,0.027,-0.989,0.146,0.333,0.855,0.193,0.413,0.495,0.586,0.402,0.491,0.396,0.392,0.502,0.636,0.717,0.465,0.2,0.486,0.472,0.525,0.808,0.37,0.292,0.461,0.372,0.607,pebble
mongialino.017,pietreMongialino,403,677,1.724,0.018,0.299,-3.251,-0.141,1.862,0.374,0.148,0.332,0.054,-0.143,0.513,0.572,0.489,0.385,84.749,100.844,33.689,0.628,-0.079,0.774,0.244,0.965,-0.1,-0.739,0.251,0.625,0.23,0.828,0.28,0.444,0.379,0.666,0.347,0.842,0.175,0.535,0.249,0.713,0.703,0.549,0.238,0.494,0.479,0.539,0.737,0.45,0.245,0.461,0.45,0.587,pebble
mongialino.018,pietreMongialino,75,111,0.23,0.001,0.814,-2.915,-0.257,2.689,0.207,0.058,0.112,-0.162,-0.254,0.706,0.402,0.429,0.256,4.248,3.631,0.928,0.279,-0.111,-0.954,0.837,0.515,0.185,0.471,-0.85,0.236,0.0,0.0,0.0,0.351,0.454,0.692,0.0,0.0,0.0,0.398,0.311,0.765,0.722,0.664,0.194,0.308,0.391,0.747,0.0,0.0,0.0,0.442,0.269,0.663,sand
mongialino.019,pietreMongialino,47,62,0.14,0.001,0.796,-3.279,-0.312,2.898,0.096,0.081,0.118,-0.006,-0.44,0.536,0.427,0.508,0.281,0.966,1.312,0.499,0.993,-0.1,0.062,0.118,0.836,-0.536,0.002,0.539,0.842,0.0,0.0,0.0,0.307,0.662,0.527,0.0,0.0,0.0,0.584,0.158,0.634,0.142,0.983,0.12,0.351,0.572,0.617,0.0,0.0,0.0,0.537,0.547,0.465,silt
mongialino.020,pietreMongialino,117,175,0.557,0.005,0.637,-2.169,-0.28,2.747,0.211,0.095,0.235,0.133,-0.033,0.704,0.411,0.488,0.281,10.72,8.844,5.89,0.635,0.702,-0.321,-0.732,0.68,0.039,0.246,0.21,0.946,0.0,0.0,0.0,0.257,0.45,0.741,0.0,0.0,0.0,0.311,0.406,0.719,0.946,0.289,0.086,0.354,0.394,0.726,0.796,0.42,0.103,0.363,0.396,0.708,granule
mongialino.021,pietreMongialino,108,172,0.51,0.003,0.395,-1.597,-0.248,2.785,0.171,0.129,0.156,0.092,-0.139,0.474,0.489,0.628,0.338,5.692,4.823,4.668,0.715,0.634,0.294,-0.605,0.772,-0.193,-0.349,-0.04,0.936,0.123,0.947,0.234,0.441,0.57,0.514,0.0,0.0,0.0,0.346,0.537,0.652,0.236,0.944,0.157,0.359,0.605,0.514,0.858,0.358,0.075,0.495,0.445,0.55,granule
mongialino.022,pietreMongialino,49,70,0.194,0.001,0.75,-1.144,-0.113,2.978,0.142,0.071,0.108,0.195,-0.015,0.659,0.51,0.418,0.304,1.626,1.203,0.779,0.363,0.466,0.807,-0.932,0.188,0.311,-0.007,-0.865,0.502,0.0,0.0,0.0,0.314,0.302,0.862,0.573,0.678,0.46,0.278,0.423,0.759,0.964,0.232,0.132,0.557,0.385,0.601,0.0,0.0,0.0,0.566,0.328,0.58,sand
mongialino.023,pietreMongialino,35,46,0.101,0.0,0.955,-0.869,0.012,3.113,0.101,0.05,0.082,-0.033,-0.073,0.642,0.466,0.561,0.222,0.517,0.55,0.293,0.508,0.255,0.823,-0.405,0.914,-0.034,-0.76,-0.316,0.568,0.0,0.0,0.0,0.307,0.601,0.647,0.0,0.0,0.0,0.449,0.524,0.628,0.0,0.0,0.0,0.42,0.44,0.665,0.0,0.0,0.0,0.459,0.395,0.607,silt
