sep=,
object,collection,nVert,nFace,totSurface,Vol,planarity,mediaVX,mediaVY,mediaVZ,varVX,varVY,varVZ,mediaNX,mediaNY,mediaNZ,varNX,varNY,varNZ,eigv1,eigv2,eigv3,x1,y1,z1,x2,y2,z2,x3,y3,z3,XN_YN_ZN_x,XN_YN_ZN_y,XN_YN_ZN_z,XN_YN_ZP_x,XN_YN_ZP_y,XN_YN_ZP_z,XN_YP_ZN_x,XN_YP_ZN_y,XN_YP_ZN_z,XN_YP_ZP_x,XN_YP_ZP_y,XN_YP_ZP_z,XP_YN_ZN_x,XP_YN_ZN_y,XP_YN_ZN_z,XP_YN_ZP_x,XP_YN_ZP_y,XP_YN_ZP_z,XP_YP_ZN_x,XP_YP_ZN_y,XP_YP_ZN_z,XP_YP_ZP_x,XP_YP_ZP_y,XP_YP_ZP_z,objType
mongialino.053,pietreMongialino,125,192,0.489,0.004,0.428,1.752,0.04,-1.753,0.169,0.126,0.187,0.192,-0.002,0.488,0.564,0.507,0.386,8.387,7.237,4.25,0.72,0.361,-0.592,-0.487,0.871,-0.061,0.494,0.332,0.803,0.0,0.0,0.0,0.496,0.366,0.677,0.49,0.766,0.117,0.38,0.455,0.62,0.872,0.328,0.231,0.618,0.413,0.517,0.639,0.502,0.208,0.363,0.476,0.648,granule
mongialino.054,pietreMongialino,126,210,0.59,0.004,0.287,1.911,0.15,-1.227,0.185,0.133,0.144,0.209,-0.114,0.36,0.53,0.626,0.375,7.503,6.892,3.971,0.564,0.151,0.812,-0.622,0.723,0.299,-0.542,-0.674,0.502,0.319,0.948,0.0,0.333,0.496,0.649,0.651,0.63,0.423,0.445,0.568,0.596,0.652,0.617,0.254,0.448,0.643,0.396,0.924,0.28,0.183,0.545,0.479,0.465,granule
mongialino.055,pietreMongialino,503,853,2.433,0.035,0.319,2.907,0.342,-1.487,0.526,0.214,0.311,0.231,-0.112,0.484,0.461,0.58,0.389,196.242,166.598,58.756,0.309,0.107,0.945,-0.862,0.451,0.231,-0.401,-0.886,0.231,0.0,0.0,0.0,0.235,0.532,0.668,0.316,0.913,0.136,0.316,0.458,0.713,0.73,0.508,0.242,0.467,0.527,0.55,0.674,0.552,0.232,0.447,0.534,0.492,pebble
mongialino.056,pietreMongialino,470,830,2.611,0.038,0.388,-2.021,-0.198,-1.252,0.449,0.223,0.375,-0.077,0.013,0.617,0.458,0.576,0.268,155.196,145.894,67.94,0.508,-0.319,-0.8,0.772,0.58,0.259,0.381,-0.75,0.541,0.877,0.475,0.036,0.399,0.499,0.593,0.545,0.837,0.049,0.389,0.451,0.697,0.584,0.686,0.119,0.389,0.538,0.586,0.46,0.668,0.361,0.355,0.516,0.619,pebble
mongialino.057,pietreMongialino,56,85,0.285,0.002,0.45,-1.368,-0.194,-0.842,0.174,0.114,0.095,-0.072,0.2,0.515,0.426,0.661,0.265,2.512,2.353,0.974,0.419,0.148,-0.896,0.233,0.936,0.264,0.878,-0.319,0.357,0.0,0.0,0.0,0.365,0.625,0.592,0.371,0.929,0.019,0.412,0.607,0.483,0.0,0.0,0.0,0.316,0.473,0.733,0.27,0.963,0.011,0.346,0.711,0.452,sand
mongialino.058,pietreMongialino,277,471,1.944,0.028,0.384,-0.478,-0.253,-1.285,0.405,0.201,0.345,0.212,-0.028,0.583,0.431,0.546,0.36,82.376,60.128,36.343,0.433,0.401,-0.807,-0.854,0.47,-0.224,0.289,0.787,0.546,0.297,0.929,0.072,0.166,0.458,0.721,0.0,0.0,0.0,0.378,0.521,0.645,0.667,0.605,0.165,0.393,0.422,0.622,0.859,0.415,0.091,0.413,0.404,0.646,pebble
mongialino.059,pietreMongialino,77,124,0.419,0.002,0.303,0.167,-0.104,-0.796,0.154,0.13,0.119,0.178,-0.058,0.387,0.55,0.606,0.38,3.39,3.177,1.856,0.654,0.216,0.725,-0.727,0.446,0.522,-0.211,-0.868,0.449,0.0,0.0,0.0,0.337,0.556,0.598,0.0,0.0,0.0,0.569,0.468,0.53,0.766,0.574,0.18,0.631,0.469,0.369,0.393,0.904,0.036,0.34,0.588,0.533,granule
mongialino.060,pietreMongialino,325,545,2.018,0.032,0.34,0.901,0.068,-1.256,0.423,0.226,0.339,0.089,-0.208,0.531,0.431,0.619,0.313,94.282,86.838,43.231,0.482,0.321,0.815,-0.409,0.905,-0.115,-0.775,-0.278,0.568,0.303,0.93,0.029,0.299,0.674,0.582,0.342,0.735,0.36,0.28,0.63,0.588,0.951,0.207,0.131,0.334,0.578,0.575,0.845,0.434,0.145,0.35,0.512,0.595,pebble
mongialino.061,pietreMongialino,327,553,2.082,0.025,0.404,1.983,0.208,-0.392,0.392,0.173,0.375,0.05,-0.011,0.592,0.467,0.589,0.286,85.985,68.949,57.227,0.591,0.741,-0.318,-0.762,0.642,0.079,0.263,0.196,0.945,0.334,0.919,0.019,0.303,0.494,0.679,0.0,0.0,0.0,0.488,0.525,0.563,0.642,0.637,0.166,0.34,0.499,0.642,0.393,0.812,0.073,0.386,0.522,0.564,pebble
mongialino.062,pietreMongialino,67,95,0.227,0.002,0.489,1.776,0.546,0.278,0.169,0.094,0.1,0.202,0.089,0.609,0.511,0.482,0.293,2.834,2.395,1.113,0.331,0.086,-0.94,-0.747,0.632,-0.205,0.577,0.77,0.273,0.0,0.0,0.0,0.327,0.412,0.795,0.0,0.0,0.0,0.294,0.47,0.757,0.971,0.217,0.097,0.638,0.344,0.496,0.723,0.69,0.02,0.497,0.442,0.522,sand
mongialino.063,pietreMongialino,207,340,1.212,0.012,0.393,3.111,0.419,0.006,0.356,0.209,0.165,0.032,0.35,0.486,0.425,0.602,0.311,20.65,33.718,27.283,0.817,-0.43,-0.384,0.576,0.602,0.553,-0.007,-0.673,0.74,0.0,0.0,0.0,0.387,0.523,0.607,0.551,0.193,0.812,0.276,0.702,0.524,0.973,0.042,0.228,0.346,0.496,0.602,0.703,0.484,0.224,0.304,0.681,0.468,granule
mongialino.064,pietreMongialino,43,56,0.154,0.001,0.842,2.879,0.201,-0.408,0.187,0.068,0.086,-0.026,0.096,0.713,0.33,0.566,0.229,1.863,1.714,0.461,0.194,-0.084,0.977,0.372,0.928,0.006,-0.908,0.362,0.212,0.0,0.0,0.0,0.282,0.548,0.713,0.0,0.0,0.0,0.215,0.555,0.67,0.0,0.0,0.0,0.315,0.362,0.791,0.0,0.0,0.0,0.275,0.432,0.722,sand
mongialino.065,pietreMongialino,337,569,1.544,0.019,0.337,3.589,0.366,-0.75,0.454,0.175,0.239,0.145,-0.203,0.575,0.439,0.558,0.32,92.076,81.208,24.836,0.267,0.11,-0.957,-0.959,0.127,-0.253,0.093,0.986,0.14,0.456,0.776,0.247,0.295,0.654,0.509,0.507,0.422,0.751,0.218,0.489,0.759,0.989,0.148,0.017,0.407,0.492,0.625,0.872,0.45,0.092,0.445,0.399,0.645,pebble
mongialino.066,pietreMongialino,200,321,0.913,0.007,0.245,4.193,0.508,-0.116,0.248,0.185,0.148,0.161,-0.001,0.396,0.393,0.732,0.357,17.592,18.936,10.455,0.524,0.271,0.807,-0.844,0.294,0.449,-0.115,-0.917,0.383,0.195,0.901,0.195,0.158,0.552,0.718,0.316,0.835,0.095,0.286,0.663,0.546,0.416,0.811,0.201,0.418,0.678,0.386,0.468,0.709,0.142,0.325,0.659,0.469,granule
mongialino.067,pietreMongialino,58,71,0.143,0.002,0.53,3.862,0.71,0.114,0.17,0.133,0.088,0.196,-0.104,0.645,0.433,0.503,0.305,2.594,2.881,0.824,0.607,0.013,0.795,-0.722,0.426,0.545,-0.332,-0.904,0.268,0.0,0.0,0.0,0.361,0.408,0.747,0.0,0.0,0.0,0.227,0.227,0.907,0.0,0.0,0.0,0.47,0.489,0.557,0.571,0.608,0.327,0.383,0.55,0.662,sand
mongialino.068,pietreMongialino,376,670,1.512,0.012,0.333,4.95,0.53,-0.655,0.332,0.148,0.234,-0.042,-0.016,0.524,0.506,0.61,0.31,58.524,33.971,48.197,0.384,-0.888,0.255,0.922,0.385,-0.045,-0.058,0.252,0.966,0.576,0.634,0.117,0.433,0.485,0.59,0.393,0.693,0.32,0.392,0.608,0.533,0.751,0.446,0.113,0.384,0.539,0.591,0.756,0.389,0.178,0.386,0.542,0.536,pebble
mongialino.069,pietreMongialino,225,391,0.741,0.006,0.288,4.893,0.614,-0.001,0.226,0.158,0.168,-0.11,-0.022,0.476,0.567,0.561,0.353,19.498,19.436,7.884,0.603,-0.113,-0.79,0.678,0.594,0.433,0.421,-0.796,0.435,0.58,0.73,0.193,0.479,0.538,0.492,0.648,0.408,0.352,0.489,0.367,0.664,0.607,0.489,0.255,0.477,0.54,0.472,0.67,0.532,0.274,0.499,0.49,0.521,granule
mongialino.070,pietreMongialino,86,127,0.248,0.002,0.601,5.471,0.726,-0.398,0.128,0.1,0.129,0.326,-0.045,0.529,0.456,0.518,0.368,3.453,2.922,1.03,0.705,0.259,-0.66,-0.656,0.592,-0.468,0.27,0.763,0.587,0.193,0.956,0.171,0.303,0.515,0.673,0.0,0.0,0.0,0.352,0.326,0.832,0.778,0.41,0.218,0.443,0.41,0.648,0.929,0.233,0.211,0.513,0.499,0.501,sand
mongialino.071,pietreMongialino,299,539,0.977,0.006,0.232,5.634,0.746,-0.032,0.191,0.167,0.192,0.11,-0.14,0.352,0.544,0.578,0.463,23.427,24.713,12.353,0.81,0.216,-0.545,-0.527,0.675,-0.516,0.256,0.705,0.661,0.562,0.454,0.524,0.384,0.533,0.572,0.545,0.454,0.458,0.411,0.424,0.672,0.542,0.631,0.281,0.515,0.573,0.435,0.671,0.524,0.262,0.486,0.46,0.56,granule
mongialino.072,pietreMongialino,805,1464,3.315,0.03,0.391,5.373,0.555,1.08,0.478,0.138,0.457,-0.098,-0.043,0.622,0.466,0.509,0.353,313.803,279.09,140.683,0.509,-0.486,0.71,0.725,0.687,-0.05,-0.464,0.54,0.702,0.477,0.666,0.28,0.362,0.401,0.709,0.637,0.465,0.383,0.468,0.452,0.579,0.577,0.432,0.387,0.303,0.43,0.711,0.575,0.432,0.375,0.368,0.411,0.689,cobble
mongialino.073,pietreMongialino,942,1731,3.831,0.042,0.317,4.927,0.606,2.081,0.507,0.21,0.392,-0.048,-0.199,0.527,0.51,0.536,0.366,326.732,339.137,190.786,0.474,-0.395,0.787,0.813,0.539,-0.219,-0.338,0.744,0.576,0.516,0.538,0.386,0.398,0.51,0.585,0.643,0.482,0.326,0.486,0.424,0.602,0.597,0.605,0.236,0.395,0.541,0.57,0.584,0.563,0.326,0.39,0.407,0.688,cobble
mongialino.074,pietreMongialino,389,685,2.484,0.037,0.401,2.406,0.354,0.837,0.372,0.236,0.421,0.12,-0.305,0.509,0.466,0.528,0.371,100.689,123.169,65.017,0.9,0.378,-0.218,-0.434,0.828,-0.356,0.046,0.415,0.909,0.22,0.929,0.153,0.37,0.54,0.585,0.0,0.0,0.0,0.275,0.314,0.817,0.376,0.782,0.266,0.396,0.561,0.508,0.634,0.772,0.034,0.48,0.362,0.67,pebble
mongialino.075,pietreMongialino,121,185,0.392,0.003,0.464,4.365,0.99,1.063,0.112,0.169,0.17,0.292,0.271,0.456,0.518,0.516,0.314,7.715,6.607,2.583,0.868,0.496,-0.008,-0.35,0.623,0.699,0.352,-0.604,0.715,0.0,0.0,0.0,0.379,0.493,0.69,0.0,0.0,0.0,0.346,0.598,0.622,0.809,0.308,0.26,0.568,0.42,0.514,0.801,0.48,0.124,0.568,0.541,0.423,sand
mongialino.076,pietreMongialino,454,790,2.237,0.028,0.361,3.773,0.532,0.699,0.417,0.21,0.318,0.141,-0.166,0.525,0.482,0.583,0.323,128.835,95.262,65.485,0.355,0.511,-0.783,-0.935,0.188,-0.301,-0.007,0.839,0.545,0.557,0.738,0.125,0.357,0.61,0.529,0.479,0.716,0.087,0.332,0.423,0.76,0.62,0.64,0.171,0.406,0.586,0.535,0.563,0.636,0.2,0.515,0.421,0.535,pebble
mongialino.077,pietreMongialino,374,648,2.265,0.024,0.307,0.933,0.084,0.714,0.535,0.178,0.256,-0.012,-0.038,0.455,0.462,0.648,0.398,125.374,127.182,34.102,0.166,0.04,0.985,-0.582,0.811,0.064,-0.796,-0.584,0.158,0.46,0.732,0.164,0.312,0.481,0.664,0.567,0.656,0.236,0.428,0.637,0.433,0.507,0.784,0.142,0.334,0.478,0.649,0.298,0.841,0.328,0.347,0.544,0.562,pebble
mongialino.078,pietreMongialino,335,578,1.966,0.021,0.309,0.602,0.034,-0.35,0.431,0.18,0.276,0.124,-0.045,0.549,0.417,0.648,0.296,91.068,74.506,31.331,0.299,0.204,-0.932,-0.95,0.152,-0.272,0.086,0.967,0.239,0.6,0.728,0.333,0.268,0.592,0.633,0.702,0.463,0.374,0.339,0.598,0.548,0.675,0.308,0.525,0.331,0.59,0.615,0.556,0.695,0.145,0.398,0.571,0.521,pebble
mongialino.079,pietreMongialino,83,128,0.346,0.002,0.52,0.995,0.417,0.113,0.109,0.216,0.103,0.516,-0.059,0.332,0.403,0.508,0.447,5.089,4.827,1.576,0.95,-0.081,-0.301,-0.287,0.15,-0.946,0.122,0.985,0.119,0.0,0.0,0.0,0.291,0.63,0.607,0.0,0.0,0.0,0.212,0.438,0.797,0.687,0.518,0.282,0.589,0.406,0.468,0.831,0.394,0.26,0.581,0.365,0.562,sand
mongialino.080,pietreMongialino,89,139,0.425,0.003,0.624,-2.077,0.195,-0.084,0.19,0.118,0.145,-0.132,-0.341,0.519,0.46,0.528,0.326,5.884,3.785,2.943,0.386,-0.688,0.614,0.852,0.011,-0.523,0.353,0.725,0.591,0.008,0.999,0.046,0.373,0.594,0.457,0.0,0.0,0.0,0.453,0.327,0.698,0.327,0.904,0.105,0.342,0.649,0.453,0.0,0.0,0.0,0.437,0.278,0.718,sand
mongialino.081,pietreMongialino,103,157,0.484,0.005,0.603,-1.585,0.079,-0.34,0.297,0.114,0.145,-0.21,-0.067,0.72,0.393,0.491,0.195,12.238,10.746,2.241,0.352,-0.082,0.933,0.913,0.25,-0.322,-0.207,0.965,0.163,0.0,0.0,0.0,0.412,0.396,0.728,0.0,0.0,0.0,0.46,0.365,0.727,0.0,0.0,0.0,0.232,0.461,0.742,0.0,0.0,0.0,0.287,0.59,0.636,sand
mongialino.082,pietreMongialino,51,64,0.187,0.002,0.903,-1.397,-0.022,-0.646,0.194,0.075,0.107,-0.138,0.075,0.777,0.405,0.402,0.216,2.6,1.954,1.026,0.171,-0.354,0.919,0.944,0.325,-0.051,-0.28,0.877,0.39,0.0,0.0,0.0,0.36,0.268,0.841,0.445,0.896,0.006,0.438,0.328,0.753,0.0,0.0,0.0,0.206,0.241,0.894,0.0,0.0,0.0,0.327,0.479,0.665,sand
mongialino.083,pietreMongialino,145,232,0.755,0.007,0.507,-0.744,0.067,-0.355,0.222,0.124,0.267,0.048,0.006,0.716,0.474,0.454,0.233,15.745,17.107,6.601,0.798,0.391,0.458,-0.557,0.769,0.314,-0.229,-0.506,0.831,0.0,0.0,0.0,0.319,0.373,0.773,0.0,0.0,0.0,0.42,0.386,0.717,0.0,0.0,0.0,0.423,0.386,0.721,0.552,0.834,0.0,0.447,0.397,0.673,granule
mongialino.084,pietreMongialino,98,147,0.383,0.003,0.575,-1.28,0.223,0.051,0.188,0.135,0.109,0.111,0.259,0.572,0.404,0.554,0.352,5.707,3.308,3.824,0.353,0.883,0.31,-0.74,0.061,0.67,0.572,-0.466,0.675,0.228,0.832,0.376,0.333,0.295,0.774,0.0,0.0,0.0,0.27,0.509,0.721,0.358,0.851,0.223,0.49,0.445,0.531,0.647,0.712,0.274,0.4,0.569,0.607,sand
mongialino.085,pietreMongialino,292,496,1.898,0.023,0.356,-0.447,-0.074,0.659,0.379,0.187,0.328,0.097,-0.187,0.498,0.548,0.542,0.338,69.619,63.458,34.267,0.503,0.408,-0.762,-0.809,0.532,-0.25,0.303,0.742,0.598,0.581,0.691,0.186,0.409,0.62,0.458,0.725,0.441,0.339,0.474,0.387,0.639,0.582,0.578,0.089,0.402,0.446,0.585,0.953,0.211,0.105,0.505,0.387,0.537,pebble
mongialino.086,pietreMongialino,72,108,0.336,0.002,0.526,-0.422,-0.118,1.372,0.161,0.11,0.121,0.01,-0.19,0.516,0.562,0.568,0.242,2.921,2.417,2.243,0.623,0.715,0.318,-0.531,0.685,-0.499,-0.575,0.142,0.806,0.0,0.0,0.0,0.442,0.524,0.544,0.0,0.0,0.0,0.511,0.482,0.556,0.0,0.0,0.0,0.536,0.606,0.443,0.0,0.0,0.0,0.368,0.493,0.608,sand
mongialino.087,pietreMongialino,84,124,0.383,0.003,0.341,-0.001,-0.082,1.458,0.137,0.132,0.139,0.132,-0.208,0.371,0.612,0.511,0.407,3.861,2.986,2.459,0.731,0.6,0.325,-0.435,0.777,-0.455,-0.525,0.191,0.829,0.555,0.561,0.338,0.581,0.495,0.493,0.0,0.0,0.0,0.505,0.409,0.63,0.536,0.727,0.275,0.568,0.419,0.486,0.0,0.0,0.0,0.67,0.342,0.496,sand
mongialino.088,pietreMongialino,127,200,0.681,0.006,0.57,0.39,0.203,1.215,0.251,0.119,0.216,0.259,-0.211,0.608,0.428,0.508,0.278,14.817,9.074,7.491,0.379,0.599,0.706,-0.871,0.488,0.054,-0.312,-0.635,0.707,0.0,0.0,0.0,0.262,0.513,0.712,0.0,0.0,0.0,0.277,0.44,0.773,0.468,0.722,0.294,0.426,0.498,0.608,0.983,0.182,0.007,0.571,0.412,0.508,granule
mongialino.089,pietreMongialino,125,199,0.794,0.009,0.427,1.331,0.134,1.408,0.324,0.153,0.172,-0.109,0.079,0.629,0.465,0.529,0.3,16.191,17.383,5.961,0.28,-0.051,-0.959,0.736,0.653,0.18,0.617,-0.756,0.22,0.0,0.0,0.0,0.482,0.495,0.492,0.993,0.118,0.031,0.468,0.508,0.557,0.442,0.886,0.089,0.288,0.384,0.749,0.0,0.0,0.0,0.319,0.333,0.804,granule
mongialino.090,pietreMongialino,301,513,1.792,0.023,0.339,1.711,0.189,2.106,0.444,0.19,0.271,-0.129,0.063,0.552,0.508,0.542,0.35,74.751,79.438,30.142,0.292,-0.116,-0.949,0.756,0.635,0.155,0.585,-0.763,0.274,0.852,0.348,0.192,0.438,0.439,0.603,0.574,0.678,0.173,0.494,0.581,0.45,0.347,0.871,0.082,0.411,0.359,0.73,0.1,0.991,0.093,0.302,0.408,0.75,pebble
mongialino.091,pietreMongialino,85,132,0.32,0.002,0.363,2.653,0.256,1.985,0.107,0.104,0.178,0.165,-0.213,0.382,0.586,0.493,0.442,3.922,3.849,1.404,0.927,0.248,-0.281,-0.34,0.87,-0.357,0.156,0.427,0.891,0.502,0.733,0.195,0.532,0.499,0.545,0.0,0.0,0.0,0.457,0.48,0.622,0.59,0.545,0.393,0.464,0.449,0.529,0.895,0.277,0.21,0.6,0.272,0.607,sand
mongialino.092,pietreMongialino,100,156,0.39,0.002,0.535,2.538,0.277,2.445,0.214,0.085,0.134,0.096,0.123,0.568,0.468,0.57,0.33,5.329,6.467,2.397,0.296,-0.07,-0.953,0.562,0.819,0.114,0.772,-0.569,0.282,0.062,0.998,0.023,0.392,0.423,0.695,0.0,0.0,0.0,0.425,0.358,0.716,0.567,0.79,0.201,0.396,0.48,0.587,0.546,0.677,0.296,0.407,0.604,0.55,sand
mongialino.093,pietreMongialino,164,258,0.659,0.007,0.285,3.289,0.562,2.622,0.268,0.234,0.117,0.181,0.121,0.414,0.486,0.635,0.376,20.742,19.851,5.459,0.604,-0.14,-0.785,-0.725,0.312,-0.614,0.331,0.94,0.087,0.177,0.89,0.295,0.287,0.6,0.558,0.807,0.308,0.364,0.455,0.605,0.458,0.624,0.648,0.214,0.406,0.534,0.529,0.634,0.64,0.237,0.449,0.574,0.508,granule
mongialino.094,pietreMongialino,603,1066,2.798,0.043,0.325,3.624,0.508,1.74,0.42,0.258,0.401,0.194,-0.13,0.543,0.48,0.54,0.358,209.308,190.285,86.985,0.62,0.398,-0.676,-0.756,0.533,-0.38,0.209,0.747,0.632,0.291,0.898,0.101,0.351,0.551,0.629,0.496,0.679,0.387,0.309,0.38,0.77,0.592,0.661,0.239,0.483,0.449,0.557,0.697,0.315,0.397,0.489,0.43,0.601,pebble
